,region,date,group,package,price_min,price_max
0,Wisconsin,09/25/2023,Blue,5 pounds,2.3275,3.5375
1,Wisconsin,09/25/2023,Brick,5 pounds,2.0575,2.625
2,Wisconsin,09/25/2023,Cheddar,40 pound Block,1.78,2.3225
3,Wisconsin,09/25/2023,Monterey Jack,10 pounds,2.0325,2.38
4,Wisconsin,09/25/2023,Mozzarella,5-6 pounds,1.8575,2.945
5,Wisconsin,09/25/2023,Muenster,5 pounds,2.0575,2.625
6,Wisconsin,09/25/2023,Process American,5 pound Loaf,1.61,2.0775
7,Wisconsin,09/25/2023,Swiss,6-9 pound Cuts,2.6425,2.745
8,Wisconsin,09/18/2023,Blue,5 pounds,2.4075,3.6175
9,Wisconsin,09/18/2023,Brick,5 pounds,2.1375,2.705
10,Wisconsin,09/18/2023,Cheddar,40 pound Block,1.86,2.4025
11,Wisconsin,09/18/2023,Monterey Jack,10 pounds,2.1125,2.46
12,Wisconsin,09/18/2023,Mozzarella,5-6 pounds,1.9375,3.025
13,Wisconsin,09/18/2023,Muenster,5 pounds,2.1375,2.705
14,Wisconsin,09/18/2023,Process American,5 pound Loaf,1.795,2.2625
15,Wisconsin,09/18/2023,Swiss,6-9 pound Cuts,2.6425,2.745
16,Wisconsin,09/11/2023,Blue,5 pounds,2.4575,3.6675
17,Wisconsin,09/11/2023,Brick,5 pounds,2.1875,2.755
18,Wisconsin,09/11/2023,Cheddar,40 pound Block,1.91,2.4525
19,Wisconsin,09/11/2023,Monterey Jack,10 pounds,2.1625,2.51
20,Wisconsin,09/11/2023,Mozzarella,5-6 pounds,1.9875,3.075
21,Wisconsin,09/11/2023,Muenster,5 pounds,2.1875,2.755
22,Wisconsin,09/11/2023,Process American,5 pound Loaf,1.835,2.3025
23,Wisconsin,09/11/2023,Swiss,6-9 pound Cuts,2.6425,2.745
24,Wisconsin,09/04/2023,Blue,5 pounds,2.4825,3.6925
25,Wisconsin,09/04/2023,Brick,5 pounds,2.2125,2.78
26,Wisconsin,09/04/2023,Cheddar,40 pound Block,1.935,2.4775
27,Wisconsin,09/04/2023,Monterey Jack,10 pounds,2.1875,2.535
28,Wisconsin,09/04/2023,Mozzarella,5-6 pounds,2.0125,3.1
29,Wisconsin,09/04/2023,Muenster,5 pounds,2.2125,2.78
30,Wisconsin,09/04/2023,Process American,5 pound Loaf,1.8275,2.295
31,Wisconsin,09/04/2023,Swiss,6-9 pound Cuts,2.6425,2.745
32,Wisconsin,08/28/2023,Blue,5 pounds,2.455,3.665
33,Wisconsin,08/28/2023,Brick,5 pounds,2.185,2.7525
34,Wisconsin,08/28/2023,Cheddar,40 pound Block,1.9075,2.45
35,Wisconsin,08/28/2023,Monterey Jack,10 pounds,2.16,2.5075
36,Wisconsin,08/28/2023,Mozzarella,5-6 pounds,1.985,3.0725
37,Wisconsin,08/28/2023,Muenster,5 pounds,2.185,2.7525
