,Code,FIPS,StateFIPS,CountyFIPS,County,State,Country,Latitude,Longitude,Generation(MWh),Emissions(tons)
7970,64023,34035,34,035,Somerset,New Jersey,USA,40.55812,-74.57594,3508.0,0.0
7971,64025,34021,34,021,Mercer,New Jersey,USA,40.32312,-74.64512,1812.0,0.0
7972,59371,34021,34,021,Mercer,New Jersey,USA,40.200278,-74.576111,2105.0,0.0
7973,57458,34023,34,023,Middlesex,New Jersey,USA,40.535787,-74.391268,4644.0,0.0
7974,58187,34023,34,023,Middlesex,New Jersey,USA,40.516111,-74.34,2603.0,0.0
7975,59365,34021,34,021,Mercer,New Jersey,USA,40.205833,-74.579722,1490.0,0.0
7976,61224,34027,34,027,Morris,New Jersey,USA,40.894197,-74.730162,1819.0,0.0
7977,59370,34021,34,021,Mercer,New Jersey,USA,40.196389,-74.583611,2051.0,0.0
7978,63366,34017,34,017,Hudson,New Jersey,USA,40.751938,-74.131258,2126.0,0.0
7979,62325,34017,34,017,Hudson,New Jersey,USA,40.78976,-74.071521,2539.0,0.0
7980,64194,34021,34,021,Mercer,New Jersey,USA,40.3147,-74.65551,1960.0,0.0
7981,65289,34017,34,017,Hudson,New Jersey,USA,40.77957,-74.04182,2326.0,0.0
7982,65280,34013,34,013,Essex,New Jersey,USA,40.731966,-74.120486,2311.0,0.0
7983,64195,34021,34,021,Mercer,New Jersey,USA,40.32358,-74.64994,1526.0,0.0
7984,62326,34017,34,017,Hudson,New Jersey,USA,40.770516,-74.072239,1526.0,0.0
7985,58798,34001,34,001,Atlantic,New Jersey,USA,39.4375,-74.690556,1401.0,0.0
7986,63260,34005,34,005,Burlington,New Jersey,USA,40.049778,-74.935167,2157.0,0.0
7987,60802,34001,34,001,Atlantic,New Jersey,USA,39.460566,-74.68093,1637.0,0.0
7988,63198,34037,34,037,Sussex,New Jersey,USA,40.92635,-74.675089,1955.0,0.0
7989,63483,34001,34,001,Atlantic,New Jersey,USA,39.359831,-74.434228,47058.0,23567.001
7990,61923,34001,34,001,Atlantic,New Jersey,USA,39.381969,-74.445146,-184.0,0.0
7991,66796,34027,34,027,Morris,New Jersey,USA,40.857536,-74.41258,46.0,0.0
7992,65194,34025,34,025,Monmouth,New Jersey,USA,40.397872,-74.134837,13591.0,0.0
7993,65622,34001,34,001,Atlantic,New Jersey,USA,39.48,-74.516,3469.0,0.0
7994,60772,34001,34,001,Atlantic,New Jersey,USA,39.411372,-74.530865,3393.0,0.0
7995,63195,34005,34,005,Burlington,New Jersey,USA,39.819725,-74.8947,3112.0,0.0
7996,58519,34005,34,005,Burlington,New Jersey,USA,40.000556,-74.735,3754.0,0.0
7997,63353,34039,34,039,Union,New Jersey,USA,40.665678,-74.175226,5350.0,0.0
7998,65213,34027,34,027,Morris,New Jersey,USA,40.845086,-74.428245,9736.0,0.0
