,FIPS,County,State,Country,DSCI
0,34001,Atlantic,New Jersey,USA,75.51946360153258
1,34003,Bergen,New Jersey,USA,55.93413793103448
2,34005,Burlington,New Jersey,USA,55.092605363984674
3,34007,Camden,New Jersey,USA,58.71448275862069
4,34009,Cape May,New Jersey,USA,87.96578544061303
5,34011,Cumberland,New Jersey,USA,85.37421455938697
6,34013,Essex,New Jersey,USA,52.62551724137932
7,34015,Gloucester,New Jersey,USA,65.35333333333334
8,34017,Hudson,New Jersey,USA,54.70379310344827
9,34019,Hunterdon,New Jersey,USA,49.54865900383142
10,34021,Mercer,New Jersey,USA,53.15386973180077
11,34023,Middlesex,New Jersey,USA,47.895785440613025
12,34025,Monmouth,New Jersey,USA,46.282950191570876
13,34027,Morris,New Jersey,USA,58.09183908045978
14,34029,Ocean,New Jersey,USA,52.30245210727969
15,34031,Passaic,New Jersey,USA,66.38241379310345
16,34033,Salem,New Jersey,USA,64.25061302681992
17,34035,Somerset,New Jersey,USA,47.541187739463595
18,34037,Sussex,New Jersey,USA,60.984406130268205
19,34039,Union,New Jersey,USA,46.142222222222216
20,34041,Warren,New Jersey,USA,51.62628352490421
